"Name","Unique_ID__c","Schedule_Name__c","Schedule_Type__c","Start_Date__c","End_Date__c","Recurrence__c","Recurrence_Type__c"
"SCH00000002","DAILY_AT_2200","Daily at 22:00","Recurrent","2016-07-08 00:00:00",,"*","Day"
"SCH00000003","DAILY_AT_2300","Daily at 23:40","Recurrent","2016-07-08 00:00:00",,"*","Day"
