"Name","Unique_ID__c","Order__c","Target_Field__c","Task_Step__r.Unique_ID__c","Transformation__c"
"MAP00001073","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_LAST_UPDATE_DATE__C","17.0","Last_Update_Date__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","LAST_UPDATED_DATE"
"MAP00001074","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_LEGAL_SRC__C","18.0","Legal_Src__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","LEGAL_SRC__C"
"MAP00001075","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_NEGOTIATION_TEAM_SRC__C","19.0","Negotiation_Team_Src__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","NEGOTIATION_TEAM__C"
"MAP00001076","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_PARENT_FA_SRC__C","20.0","Parent_FA_Src__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","PARENT_FA_SRC__C"
"MAP00001077","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_PLANNED_NEGOT_END_DATE__C","21.0","Planned_Negotiation_End_Date__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","PLANNED_NEGOT_END_DATE__C"
"MAP00001078","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_PLANNED_NEGOT_START_DATE__C","22.0","Planned_Negotiation_Start_Date__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","PLANNED_NEGOT_START_DATE__C"
"MAP00001079","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_SECOND_CONTRACT_PARTY_TADIG__C","23.0","Second_Contract_Party_TADIG__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","SND_PART_PARTICIPANT"
"MAP00001080","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_TAX_SRC__C","24.0","Tax_Src__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","TAX_SRC__C"
"MAP00001081","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_TELEFONE_NUMBER_SRC__C","25.0","Telefone_Number_Src__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","TELEFONE_NUMBER_SRC"
"MAP00001082","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_AUTO_RENEW","26.0","isAutoRenew__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","util:decode(AUTO_RENEW,'0',false,'1',true,false)"
"MAP00001083","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_IOTP_VALIDATION_STATUS__C","27.0","IOTP_Validation_Status__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","VALIDATION_STATUS"
"MAP00001084","VFGE_IOT_SYNC_PERIOD_INSERT_LOAD_TARGET_TRANSFORMATION_NAME","1.0","Name","VFGE_IOT_SYNC_PERIOD_INSERT_STEP_2","PERIOD_INDEX"
"MAP00001085","VFGE_IOT_SYNC_PERIOD_INSERT_LOAD_TARGET_TRANSFORMATION_DEAL_NUMBER_SRC__C","2.0","Deal_Number_Src__c","VFGE_IOT_SYNC_PERIOD_INSERT_STEP_2","DEAL_INDEX"
"MAP00001086","VFGE_IOT_SYNC_PERIOD_INSERT_LOAD_TARGET_TRANSFORMATION_EFFECTIVE_DATE__C","3.0","Effective_Date__c","VFGE_IOT_SYNC_PERIOD_INSERT_STEP_2","PERIOD_FROM"
