"Name","Unique_ID__c","Order__c","Target_Field__c","Task_Step__r.Unique_ID__c","Transformation__c"
"MAP00000979","VFGE_COL_REPORT_LOAD_HPMN","4.0","HPMN","VFGE_COL_REPORT_STEP_2","FOOTPRINT_SERVICE_DETAIL__C.FOOTPRINT_SERVICE__R.HPLMN_OPERATOR_TADIG__C"
"MAP00000980","VFGE_COL_REPORT_LOAD_HPMN_HUB","5.0","HPMN_HUB","VFGE_COL_REPORT_STEP_2","FOOTPRINT_SERVICE_DETAIL__C.FOOTPRINT_SERVICE__R.FOOTPRINT__R.HPLMN_HUB_TADIG_CODE__C"
"MAP00000981","VFGE_COL_REPORT_LOAD_CONNECTION_CALL_TYPE","6.0","CONNECTION_CALL_TYPE","VFGE_COL_REPORT_STEP_2","FOOTPRINT_SERVICE_DETAIL__C.NAME"
"MAP00000982","VFGE_COL_REPORT_LOAD_STATUS","7.0","STATUS","VFGE_COL_REPORT_STEP_2","FOOTPRINT_SERVICE_DETAIL__C.FOOTPRINT_SERVICE__R.SO_TYPE__C"
"MAP00000983","VFGE_COL_REPORT_LOAD_DATE","8.0","DATE","VFGE_COL_REPORT_STEP_2","util:dateFormat(FOOTPRINT_SERVICE_DETAIL__C.FOOTPRINT_SERVICE__R.OPEN_DATE_FORMULA__C, ""yyyy-MM-dd"")"
"MAP00000984","VFGE_COL_REPORT_LOAD_SERVICE","9.0","SERVICE","VFGE_COL_REPORT_STEP_2","""Connectivity"""
"MAP00000985","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_LOAD_STATUS","1.0","Status__c","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_STEP_2","""Finished in Error"""
"MAP00000986","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_LOAD_ERROR_M","2.0","Error_Message__c","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_STEP_2","util:iif(
  util:isNull(ERROR_MESSAGE__C),
  'New SIP process started.',
  ERROR_MESSAGE__C
)"
"MAP00000987","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_LOAD_END_PRO","3.0","End_Process_Date__c","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_STEP_2","util:getCurrentTimestamp()"
"MAP00000988","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_LOAD_STATU","1.0","Status__c","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_STEP_3","""Importing CSVs"""
