"Name","Unique_ID__c","Entity__r.Unique_ID__c","Field_Name__c","Order__c","Type__c"
"FLD00001379","VRS_VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_EXTRACT_ERRO","VRS_VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_EXTRACT_S","Error_Message__c","2.0","String"
"FLD00001380","VRS_VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_EXTRACT_ID","VRS_VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_EXTRACT_S","Id","1.0","String"
"FLD00001381","VRS_VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_LOAD_STATU","VRS_VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_LOAD_T","Status__c","1.0","String"
"FLD00001382","VRS_VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_LOAD_START","VRS_VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_LOAD_T","Start_Process_Date__c","2.0","Date"
"FLD00001383","VRS_VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_FILTER_FTY","VRS_VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_FILTER","filterType","1.0","String"
"FLD00001384","VRS_VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_FILTER_FIL","VRS_VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_FILTER","filter","2.0","Boolean"
"FLD00001385","VRS_VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_LOAD_ID","VRS_VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_LOAD_T","Id","1.0","String"
"FLD00001386","VRS_VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_LOAD_ERROR_ME","VRS_VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_LOAD_T","Error Message","2.0","String"
"FLD00001387","VRS_VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_LOAD_DATA_UPL","VRS_VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_LOAD_T","Data Uploaded to SFDC","3.0","Boolean"
"FLD00001388","VRS_VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_LOAD_END_UPLO","VRS_VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_LOAD_T","End Upload Data Date","4.0","Date"
"FLD00001389","VRS_VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_EXTRACT_ID","VRS_VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_EXTRACT_S","Id","1.0","String"
"FLD00001390","VRS_VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_EXTRACT_ERROR","VRS_VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_EXTRACT_S","Error_Message__c","2.0","String"
"FLD00001391","VRS_VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_EXTRACT_DATA_","VRS_VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_EXTRACT_S","Data_Uploaded_to_SFDC","3.0","Boolean"
"FLD00001392","VRS_VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_EXTRACT_END_U","VRS_VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_EXTRACT_S","End_Upload_Data_Date__c","4.0","Date"
"FLD00001393","VRS_VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_EXTRACT_ID","VRS_VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_EXTRACT_SOU","Id","1.0","String"
"FLD00001394","VRS_VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_EXTRACT_ERM","VRS_VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_EXTRACT_SOU","Error Message","2.0","String"
"FLD00001395","VRS_VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_EXTRACT_DUS","VRS_VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_EXTRACT_SOU","Data Uploaded to SFDC","3.0","Boolean"
"FLD00001396","VRS_VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_EXTRACT_EUD","VRS_VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_EXTRACT_SOU","End Upload Data Date","4.0","String"
"FLD00001397","VRS_VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_LOAD_ID","VRS_VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_LOAD_TARGET","Id","1.0","String"
"FLD00001398","VRS_VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_LOAD_STATUS","VRS_VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_LOAD_TARGET","Status__c","2.0","String"
"FLD00001399","VRS_VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_LOAD_ERRORM","VRS_VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_LOAD_TARGET","Error_Message__c","3.0","String"
"FLD00001400","VRS_VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_LOAD_EPD","VRS_VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_LOAD_TARGET","End_Process_Date__c","4.0","Date"
"FLD00001401","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_IOT_DIS_CONTRACT_STATUS","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","IOT_DIS_CONTRACT_STATUS","1.0","String"
"FLD00001402","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_NAME","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","NAME","2.0","String"
"FLD00001403","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_DEAL_INDEX","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","DEAL_INDEX","3.0","Integer"
"FLD00001404","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_DEAL_STATUS","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","DEAL_STATUS","4.0","String"
"FLD00001405","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_VRS_DEAL_STATUS","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","VRS_DEAL_STATUS","5.0","String"
"FLD00001406","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_NEGOTIATION_TEAM","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","NEGOTIATION_TEAM","6.0","String"
"FLD00001407","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_CONTRACT_MANAGER","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","CONTRACT_MANAGER","7.0","String"
"FLD00001408","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LAST_DAY_OF_SIGNATURE","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","LAST_DAY_OF_SIGNATURE","8.0","Date"
"FLD00001409","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LAST_UPDATE_DATE","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","LAST_UPDATE_DATE","9.0","Date"
"FLD00001410","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_NOTES","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","NOTES","10.0","String"
"FLD00001411","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_COMMERCIAL_COMMENTS","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","COMMERCIAL_COMMENTS","11.0","String"
"FLD00001412","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_COMMERCIAL_APPROVAL","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","COMMERCIAL_APPROVAL","12.0","String"
"FLD00001413","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_COMMERCIAL_APPROVAL_DATE","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","COMMERCIAL_APPROVAL_DATE","13.0","Date"
"FLD00001414","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_DCM_OWNER","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","DCM_OWNER","14.0","String"
"FLD00001415","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_DCM_APPROVAL","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","DCM_APPROVAL","15.0","String"
